sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
Ó y? kí w?n ?i??? p??.,They should work together.,Complex,PRON AUX COMP PRON VERB ADV,S ? VP CP,(IP (NP-SBJ (PRO Ó)) (VP (V y?) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V ?i???) (ADVP (ADV p??))))))),,,,Embed
?é ó m?? pé mo f?? ??,Do you know that I love you?,Interrogative,Q PRON VERB COMP PRON VERB PRON,S ? Q VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ó)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PN mo)) (VP (V f??) (NP (PRO ??))))))))),,,,"Embed, Ques"
Fi ohun tí o ní hàn.,Show what you have.,Imperative,VERB NOUN REL PRON AUX VERB,S ? VP CP,(IP (VP (V Fi) (NP (N ohun) (CP (C tí) (IP (NP-SBJ (PRO o)) (VP (V ní))))) (VP (V hàn)))),,,,Embed
?m? náà kúrò nílé lónìí.,The child left the house today.,Simple,NOUN DET VERB PREP NOUN ADV,S ? NP VP,(IP (NP-SBJ (N ?m?) (Det náà)) (VP (V kúrò) (PP (P ní) (NP (N ilé))) (NP-TMP (N lónìí)))),,,,—
Mo f?? kí w??n m?? pé mo wà.,I want them to know that I exist.,Complex,PRON AUX COMP PRON VERB COMP PRON AUX,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PN w??n)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PN mo)) (VP (V wà))))))))),,,,Embed
S??r??,Talk,Imperative ,VERB,S— VP,(IP (VP (V S??r??))),,,,—
Mo wo a?o pupa,I wore a red dress,Simple,PRON VERB NOUN ADJ,S ? NP VP,(IP (NP-SBJ (PN Mo)) (VP (V wo) (NP (N a?o) (ADJ pupa)))),,,,—
?é o rí ìwé náà?,Did you see the book?,Interrogative,Q PRON VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V rí) (NP (N ìwé) (Det náà)))))),,,,Ques
"Mo l? sí ?jà, mo sì ra ?ran.","I went to the market, and I bought meat.",Compound,"PRON VERB PREP NOUN, PRON CONJ VERB NOUN","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V l?) (PP (P sí) (NP (N ?jà))) (, ) (CONJ mo sì) (VP (V ra) (NP (N ?ran)))))",,,,Comp
"Bí mo bá ní àyè, màá l? sí ìpàdé.","If I have time, I will go to the meeting.",Conditional,"CONJ PRON AUX NOUN, AUX VERB PREP NOUN","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PN mo)) (VP (V bá) (VP (V ní) (NP (N àyè))))) (VP (V màá l?) (PP (P sí) (NP (N ìpàdé)))))),,,,"Embed, Comp"
Kò y? kí o ?e b????.,You should not do that.,Negative,NEG AUX COMP PRON VERB ADV,S ? Neg VP CP,(IP (NP-SBJ (PN o)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN o)) (VP (V ?e) (NP (PRO b????))))))),,,,"Embed, Neg"
Fi ?w?? r?? fún mi.,Give me your hand.,Imperative,VERB NOUN POSS PREP PRON,S ? VP,(IP (VP (V Fi) (NP (N ?w??) (POSS r??)) (PP (P fún) (NP (PRO mi))))),,,,—
Ó ? jó l??nà tó dára.,He is dancing in a good way.,Simple,PRON AUX VERB PREP NOUN REL ADJ,S ? NP VP,(IP (NP-SBJ (PRO Ó)) (ASP ?) (VP (V jó) (PP (P l??nà) (CP (C tó) (IP (VP (V dara)))))))),,,,—
?é w??n ti b?? wá?,Have they returned?,Interrogative,Q PRON AUX VERB VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V ti) (VP (V b??) (VP (V wá))))))),,,,Ques
"Mo f?? k?? ??k??, ?ùgb??n mo kò ní àkókò.","I want to study, but I don’t have time.",Compound,"PRON AUX VERB NOUN, CONJ PRON NEG AUX NOUN","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V f??) (VP (V k??) (NP (N ??k??))) (, ) (CONJ ?ùgb??n) (NP-SBJ (PN mo)) (NEG kò ní) (NP (N àkókò))))",,,,Comp
Kí ló dé?,What happened?,Interrogative,Q AUX VERB,S ? Q VP,(IP (CP (C Kí) (IP (NP-SBJ (PRO ló)) (VP (V dé))))),,,,Ques
Gba à?? kí o má ?e ?ìnrín.,Obey instructions and don’t disobey.,Imperative,VERB NOUN CONJ PRON NEG AUX VERB,S ? VP,(IP (VP (V Gba) (NP (N à??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (NEG má) (VP (V ?e) (NP (N ?ìnrín))))))),,,,—
?j?? náà dára gan-an.,The day is very good.,Simple,NOUN DET ADJ ADV,S ? NP VP,(IP (NP-SBJ (N ?j??) (Det náà)) (VP (V dara) (ADVP (ADV gan-an)))),,,,—
?é ??yin ni yóò l? sípò y?n?,Are you the ones to take that position?,Interrogative,Q PRON COP AUX VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ??yin)) (VP (V ni) (VP (V yóò l?) (PP (P sí) (NP (N ipò) (Det y?n)))))))),,,,Ques
Mo m?? pé ó ?eé ?e.,I know it is possible.,Complex,PRON VERB COMP PRON AUX VERB,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PRO ó)) (VP (V ?eé ?e)))))),,,,Embed
"Bí o bá gb??, t??síwájú.","If you hear, continue.",Conditional,"CONJ PRON AUX VERB, VERB","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (VP (V gb??)))) (VP (V t??síwájú)))),,,,"Embed, Comp"
Má wàhálà mi,Don’t trouble  me.,Negative,NEG AUX VERB PRON PREP NOUN,S ? Neg VP,(IP (VP (NEG Má) (VP (V wàhálà) (NP (PRO mi))))),,,,Neg
? j?? kí a gbàdúrà pap??,Let’s pray together.,Imperative,PRON VERB COMP PRON VERB ADV,S ? VP,(IP (NP-SBJ (PRO ?)) (VP (V j??) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V gbàdúrà) (ADVP (ADV pap??))))))),,,,—
?m? náà f?? lo.,The child wants to go.,Simple,NOUN DET AUX VERB,S ? NP VP,(IP (NP-SBJ (N ?m?) (Det náà)) (VP (V f??) (VP (V lo)))),,,,—
?é o f?? bá mi l??,Do you want to go with me?,Interrogative,Q PRON AUX PREP PRON VERB,S ? Q VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V f??) (VP (V bá) (NP (PRO mi)) (VP (V l?))))))),,,,Ques
"Mo ?i??? p??lú ìt?l??run, mo sì rí èso.","I worked with satisfaction, and I saw results.",Compound,"PRON VERB PREP NOUN, PRON CONJ VERB NOUN","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V ?i???) (PP (P p??lú) (NP (N ìt?l??run))) (, ) (CONJ mo sì) (VP (V rí) (NP (N èso)))))",,,,Comp
Kí ni ìdí tí o fi l??,Why did you go?,Interrogative,Q AUX NOUN REL PRON ADV VERB,S ? Q NP VP,(IP (CP (C Kí) (IP (NP-SBJ (N ìdí)) (VP (C tí) (IP (NP-SBJ (PRO o)) (VP (V fi l?))))))),,,,Ques
Má ?e j?un nísinsin yìí.,Don’t eat now.,Negative,NEG AUX VERB ADV DET,S ? Neg VP,(IP (VP (NEG Má) (VP (V j?un) (NP-TMP (ADV nísinsin yìí))))),,,,Neg
?e àwòrán r? kí o fi rán???.,Take your picture and send it.,Imperative,VERB NOUN POSS CONJ PRON VERB VERB,S ? VP,(IP (VP (V ?e) (NP (N àwòrán) (POSS r??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V fi) (VP (V ran???))))))),,,,—
Mo f?? kí o m?? pé mo níf???? r?.,I want you to know that I love you.,Complex,PRON AUX COMP PRON VERB COMP PRON VERB PRON,S ? VP CP,(IP (NP-SBJ (PN Mo)) (VP (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V m??) (CP (C pé) (IP (NP-SBJ (PN mo)) (VP (V níf????) (NP (PRO r??)))))))))),,,,Embed
?é w??n máa j?un l??la?,Will they eat tomorrow?,Interrogative,Q PRON AUX VERB NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (ASP máa) (VP (V j?un) (NP-TMP (N l??la)))))),,,,Ques
"Mo rántí ìtàn náà, ?ùgb??n mo ti gbagbé dí??.","I remembered the story, but I forgot some.",Compound,"PRON VERB NOUN DET, CONJ PRON AUX VERB ADV","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V rántí) (NP (N ìtàn) (Det náà))) (, ) (CONJ ?ùgb??n) (NP-SBJ (PN mo)) (VP (V ti gbagbé) (NP (N dí??)))))",,,,Comp
"Bí w??n bá pé mi, màá dahun.","If they call me, I will answer.",Conditional,"CONJ PRON AUX VERB PRON, AUX VERB","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PN w??n)) (VP (V bá) (VP (V pé) (NP (PRO mi))))) (VP (V màá dahun)))),,,,"Embed, Comp"
Má ?e b?? mí l????kansi.,Don’t ask me again.,Negative,NEG AUX VERB PRON ADV,S ? Neg VP,(IP (VP (NEG Má) (VP (V b??) (NP (PRO mí)) (NP (ADV l????kansi))))),,,,Neg
?e i??? r? kí o lè ní èso.,Do your work so you may have results.,Imperative,VERB NOUN POSS CONJ PRON AUX VERB NOUN,S ? VP,(IP (VP (V ?e) (NP (N i???) (POSS r??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V lè) (VP (V ní) (NP (N èso)))))))),,,,—
Ilé náà wà l??gb???? òpópónà.,The house is beside the road.,Simple,NOUN DET AUX PREP NOUN,S ? NP VP,(IP (NP-SBJ (N Ilé) (Det náà)) (VP (V wà) (PP (P l??gb????) (NP (N òpópónà))))),,,,—
?é o m?? ìtàn yìí?,Do you know this story?,Interrogative,Q PRON VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m??) (NP (N ìtàn) (Det yìí)))))),,,,Ques
"Mo ?i??? p??lú ay??, mo sì rí àbájáde.","I worked joyfully, and I saw results.",Compound,"PRON VERB PREP NOUN, PRON CONJ VERB NOUN","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V ?i???) (PP (P p??lú) (NP (N ay??))) (, ) (CONJ mo sì) (VP (V rí) (NP (N àbájáde)))))",,,,Comp
"Bí mo bá rí ??, màá yìn ?l??run.","If I see you, I will praise God.",Conditional,"CONJ PRON AUX VERB PRON, AUX VERB NOUN","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PN mo)) (VP (V bá) (VP (V rí) (NP (PRO ??))))) (VP (V màá yìn) (NP (N ?l??run))))),,,,"Embed, Comp"
Kò y? kí a dáw?? dúró.,We should not stop.,Negative,NEG AUX COMP PRON VERB VERB,S ? Neg VP CP,(IP (NP-SBJ (PN a)) (VP (NEG kò y?) (CP (C kí) (IP (NP-SBJ (PN a)) (VP (V dáw?? dúró)))))),,,,"Embed, Neg"
?e ìdánwò r? kí o lè k?? ??k??.,Do your test so you can learn.,Imperative,VERB NOUN POSS CONJ PRON AUX VERB NOUN,S ? VP,(IP (VP (V ?e) (NP (N ìdánwò) (POSS r??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V lè) (VP (V k??) (NP (N ??k??)))))))),,,,—
?m? yìí j?? ?l??gb??n.,This child is wise.,Simple,NOUN DET AUX ADJ,S ? NP VP,(IP (NP-SBJ (Det ?m?) (Det yìí)) (VP (V j??) (NP (N ?l??gb??n)))),,,,—
?é w??n gb?? ìròyìn náà?,Did they hear the news?,Interrogative,Q PRON VERB NOUN DET,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PN w??n)) (VP (V gb??) (NP (N ìròyìn) (Det náà)))))),,,,Ques
"Mo l? sí ibi i???, mo sì padà ní kété.","I went to work, and I returned quickly.",Compound,"PRON VERB PREP NOUN, PRON CONJ VERB ADV","S ? S , S","(IP (NP-SBJ (PN Mo)) (VP (V l?) (PP (P sí) (NP (N ibi i???))) (, ) (CONJ mo sì) (VP (V padà) (NP-TMP (ADV ní kété))))))",,,,Comp
"Bí o bá f??, o lè l? bá w?n.","If you want, you may go to them.",Conditional,"CONJ PRON AUX VERB, PRON AUX VERB PREP PRON","S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (VP (V f??)))) (VP (NP-SBJ (PRO o)) (VP (V lè l?) (VP (V bá) (NP (PN w?n))))))),,,,"Embed, Comp"
Má ?e dá mi lóró m??.,Don’t disturb me anymore.,Negative,NEG AUX VERB PRON PREP NOUN ADV,S ? Neg VP,(IP (VP (NEG Má) (VP (V ?e dá) (NP (PRO mi)) (PP (P lóró)) (ADV m??)))),,,,Neg
?e i??? r? kí o lè y?risi rere.,Do your work so it will lead to good.,Imperative,VERB NOUN POSS CONJ PRON AUX VERB NOUN,S ? VP,(IP (VP (V ?e) (NP (N i???) (POSS r??)) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V lè) (VP (V y?risi) (NP (N rere)))))))),,,,—
Ó ? k? orin ay??.,He is singing a joyful song.,Simple,PRON AUX VERB NOUN ADJ,S ? NP VP,(IP (NP-SBJ (PRO Ó)) (ASP ?) (VP (V k?) (NP (N orin) (N ay??)))),,,,—
?é o ti ra ohun tí mo s??,Have you bought what I said?,Interrogative,Q PRON AUX VERB NOUN REL PRON VERB,S ? Q VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (ASP ti) (V ra) (NP (N ohun) (CP (C tí) (IP (NP-SBJ (PRO mo)) (VP (V s?)))))))))),,,,"Embed, Ques"
"Mo k??rin, mo sì jó.","I sang, and I danced.",Compound,"PRON VERB, PRON CONJ VERB","S ? S , S","(IP (IP (NP-SBJ (PRO Mo)) (VP (V k??rin))) , (IP (NP-SBJ (PRO mo)) (VP (CONJ sì) (V jó)))))",,,,Comp
"Bí w??n bá ?e b????, a máa ní àlàáfíà.","If they do so, we will have peace.",Conditional,"CONJ PRON AUX VERB ADV, PRON AUX VERB NOUN","S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO w??n)) (VP (V bá) (VP (V ?e) (ADVP b????)))) , (IP (NP-SBJ (PRO a)) (VP (ASP máa) (V ní) (NP (N àlàáfíà)))))))",,,,"Embed, Comp"
Kò y? kí o fi ìdí náà hàn.,You should not reveal the reason.,Negative,NEG AUX COMP PRON VERB NOUN DET VERB,S ? Neg VP CP,(IP (IP (VP (NEG Kò y?) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V fi) (NP (N ìdí) (DET náà)) (V hàn))))))),,,,"Embed, Neg"
Fi àp??r? hàn kí o lè túm??.,Show the example so you can explain.,Imperative,VERB NOUN VERB CONJ PRON AUX VERB,S ? VP,(IP (IP (VP (V Fi) (NP (N àp??r?)) (V hàn) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V lè) (V túm??))))))),,,,—
?m? náà ? k?? ??k?? p??lú ay??.,The child is learning with joy.,Simple,NOUN DET AUX VERB NOUN PREP NOUN,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V k??) (NP (N ??k??)) (PP (P p??lú) (NP (N ay??))))))),,,,—
Jáde síta,Go out,Imperative ,VERB PRON NOUN ,S— VP PP NP,(IP (IP (VP (V Jáde) (PP (P síta))))),,,,—
?m? náà ? sùn.,The child is sleeping.,Simple,NOUN DET AUX VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V sùn))))),,,,—
?é o rí a?? tuntun mi?,Did you see my new cloth?,Interrogative,Q PRON VERB NOUN ADJ PRON,S ? Q VP NP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V rí) (NP (N a??) (ADJ tuntun) (PRO mi))))))),,,,Ques
"Mo l? sí ?jà, mo sì rà ?ran.","I went to the market, and I bought meat.",Compound,PRON VERB PREP NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V l?) (PP (P sí) (NP (N ?jà))) , (CONJ mo) (VP (V sì) (V rà) (NP (N ?ran)))))))",,,,—
"Bí o bá ?i??? takuntakun, ìw? yóò rí èrè.","If you work hard, you will see profit.",Complex,CONJ PRON AUX VERB ADV PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (VP (V ?i???) (ADVP takuntakun))))) , (IP (NP-SBJ (PRO ìw?)) (VP (FUT yóò) (V rí) (NP (N èrè)))))) ",,,,"Embed, Comp"
Kó ìwé náà wá síbí.,Bring the book here.,Imperative,VERB NOUN DET VERB ADV,S ? VP,(IP (IP (VP (V Kó) (NP (N ìwé) (DET náà)) (VP (V wá) (PP (P síbí)))))) ,,,,—
?? wo bí ??run ?e dára!,Look how beautiful the sky is!,Exclamative,VERB CONJ NOUN AUX ADJ,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N ??run)) (VP (V ?e) (ADJ dára))))))) ,,,,—
W??n ti dé láti Ìbàdàn.,They have arrived from Ibadan.,Simple,PRON AUX VERB PREP NOUN,S ? NP VP,(IP (IP (VP (ASP Ti) (V dé) (PP (P láti) (NP (N Ìbàdàn)))))) ,,,,—
Kí ló ??l?? níb???,What happened there?,Interrogative,WH AUX VERB ADV,S ? WH VP,(IP (CP (C Kí) (IP (NP-SBJ (PRO ló)) (VP (V ??l??) (PP (P níb??)))))) ,,,,—
"Mo ka ìwé náà, ?ùgb??n mi ò lóye r?.","I read the book, but I did not understand it.",Compound,PRON VERB NOUN DET CONJ PRON NEG VERB PRON,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V ka) (NP (N ìwé) (DET náà))) , (CONJ ?ùgb??n (PRO mi)) (VP (NEG ò) (V lóye) (NP (PRO r?)))))) ",,,,—
"Bí ?l??run bá f??, a ó ?e ìnáwó  àtàár??.","If God wills, we will have a feast tomorrow morning.",Complex,CONJ NOUN AUX VERB PRON AUX VERB NOUN NOUN,"S ? CP , S",(IP (CP (C Bí) (IP (NP-SBJ (N ?l??run)) (VP (V bá) (VP (V f??) (NP (PRO a)) (VP (FUT ó) (V ?e) (NP (N ìnáwó) (CONJ àtàár??))))))))) ,,,,"Embed, Comp"
?í il??kùn náà kí af??f?? w?lé.,Open the door so the air can enter.,Imperative,VERB NOUN DET CONJ NOUN VERB,S ? VP CP,(IP (IP (VP (V ?í) (NP (N il??kùn) (DET náà)) (CP (C kí) (IP (NP-SBJ (PRO af??f??)) (VP (V w?lé))))))) ,,,,Embed
? ?é gan-an fún ìrànl??w?? yín.,Thank you very much for your help.,Simple,PRON VERB ADV PREP NOUN PRON,S ? NP VP,(IP (IP (VP (V ?) (V ?é) (ADJ gan-an) (PP (P fún) (NP (N ìrànl??w??) (PRO yín)))))) ,,,,—
?é w??n ti l? sí ilé ìj?sìn?,Have they gone to church?,Interrogative,Q PRON AUX VERB PREP NOUN,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (ASP ti) (V l?) (PP (P sí) (NP (N ilé ìj?sìn)))))))) ,,,,Ques
"Mo f?? l?, ?ùgb??n kò sí ?k?.","I want to go, but there is no vehicle.",Compound,PRON AUX VERB CONJ NEG AUX NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V f??) (V l?)) , (CONJ ?ùgb??n (NEG kò) (V sí) (NP (N ?k?)))))) ",,,,—
"Nígbà tí mo dé, w??n ? jó.","When I arrived, they were dancing.",Complex,NOUN CONJ PRON VERB PRON AUX VERB,"S ? CP , S","(IP (CP (C Nígbà tí) (IP (NP-SBJ (PRO mo)) (VP (V dé))) , (IP (NP-SBJ (PRO w??n)) (VP (ASP ?) (V jó)))))) ",,,,"Embed, Comp"
Mú omi fún mi.,Bring me water.,Imperative,VERB NOUN PREP PRON,S ? VP,(IP (IP (VP (V Mú) (NP (N omi)) (PP (P fún) (NP (PRO mi)))))) ,,,,—
?? ka ìwé yìí kí a lè k?? ??k??.,Read this book so we can learn.,Imperative,VERB NOUN DET CONJ PRON AUX VERB NOUN,S ? VP CP,(IP (IP (VP (V ??) (V ka) (NP (N ìwé) (DET yìí)) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V lè) (V k??) (NP (N ??k??))))))))) ,,,,Embed
Mo ? k?? orin tuntun.,I am composing a new song.,Simple,PRON AUX VERB NOUN ADJ,S ? NP VP,(IP (IP (VP (ASP Mo) (V ?) (V k??) (NP (N orin) (ADJ tuntun)))))) ,,,,—
Ta ni ? pe ???,Who is calling you?,Interrogative,WH PRON AUX VERB PRON,S ? WH VP,(IP (CP (C Ta) (IP (NP-SBJ (PRO ni)) (VP (ASP ?) (V pe) (NP (PRO ??)))))) ,,,,—
"?j?? náà dára, mo sì r??rìn-ín.","The day was pleasant, and I smiled.",Compound,NOUN DET VERB PRON CONJ VERB,S ? S CONJ S,"(IP (IP (NP-SBJ (N ?j??) (DET náà)) (VP (ADJ dára)) , (CONJ mo) (VP (V sì) (V r??rìn-ín)))) ",,,,—
"Bí o bá ?i???, ìw? á rí ??bùn.","If you work, you will get a gift.",Complex,CONJ PRON AUX VERB PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO o)) (VP (V bá) (V ?i???)))) , (IP (NP-SBJ (PRO ìw?)) (VP (FUT á) (V rí) (NP (N ??bùn)))))) ",,,,"Embed, Comp"
J?? kí a gbàdúrà.,Let us pray.,Imperative,VERB CONJ PRON VERB,S ? VP,(IP (VP (V J??) (CP (C kí) (IP (NP-SBJ (PRO a)) (VP (V gbàdúrà)))))) ,,,,—
?? wo bí òru ?e kù dí??!,Look how little the night remains!,Exclamative,VERB CONJ NOUN AUX ADJ,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N òru)) (VP (V ?e) (ADJ kù dí??))))))) ,,,,—
Mo f?? kí o dé ní kutukutu.,I want you to arrive early.,Complex,PRON AUX CONJ PRON VERB ADV,S ? VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V dé) (PP (P ní) (NP (ADJ kutukutu))))))))) ,,,,Embed
?é o m? ibi tí w??n ? gbé eja náà?,Do you know where they sell that fish?,Interrogative,Q PRON VERB NOUN CONJ PRON AUX VERB NOUN DET,S ? Q VP CP,(IP (CP (C ?é) (IP (NP-SBJ (PRO o)) (VP (V m??) (PP (P ibi) (CP (C tí) (IP (NP-SBJ (PRO w??n)) (VP (ASP ?) (V gbé) (NP (N eja) (DET náà))))))))))) ,,,,"Embed, Ques"
?m? náà ? k?rin.,The child is singing.,Simple,NOUN DET AUX VERB,S ? NP VP,(IP (IP (NP-SBJ (N ?m?) (DET náà)) (VP (ASP ?) (V k?rin)))) ,,,,—
"W??n rà akara, w??n sì ra wara.","They bought bean cake, and they also bought milk.",Compound,PRON VERB NOUN PRON CONJ VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO W??n)) (VP (V rà) (NP (N akara)) , (CONJ w??n) (V sì) (V ra) (NP (N wara)))))) ",,,,—
"Nígbà tí a l? sí ìlú, òjò r??.","When we went to town, it rained.",Complex,NOUN CONJ PRON VERB PREP NOUN NOUN VERB,"S ? CP , S","(IP (CP (C Nígbà tí) (IP (NP-SBJ (PRO a)) (VP (V l?) (PP (P sí) (NP (N ìlú))))) , (IP (NP-SBJ (PRO òjò)) (VP (V r??)))))) ",,,,"Embed, Comp"
Kó apò náà wá.,Bring that bag here.,Imperative,VERB NOUN DET VERB,S ? VP,(IP (IP (VP (V Kó) (NP (N apò) (DET náà)) (VP (V wá))))) ,,,,—
?? fi ?w?? yín gba ìwé yìí.,Take this book with your hands.,Imperative,VERB NOUN PRON VERB NOUN DET,S ? VP,(IP (IP (VP (V ??) (V fi) (NP (N ?w??) (PRO yín)) (V gba) (NP (N ìwé) (DET yìí)))))) ,,,,—
?m?kùnrin náà sùn p??.,The boy slept late.,Simple,NOUN DET VERB ADV,S ? NP VP,(IP (IP (NP-SBJ (N ?m?kùnrin) (DET náà)) (VP (V sùn) (PP (P p??)))))) ,,,,—
?é w??n f?? j?un?,Do they want to eat?,Interrogative,Q PRON AUX VERB,S ? Q NP VP,(IP (CP (C ?é) (IP (NP-SBJ (PRO w??n)) (VP (V f??) (V j?un)))))) ,,,,Ques
Mo ní ilé àti ?k? ay??k??l??.,I have a house and a car.,Simple,PRON VERB NOUN CONJ NOUN,S ? NP VP,(IP (IP (NP-SBJ (PRO Mo)) (VP (V ní) (NP (N ilé) (CONJ àti) (N ?k? ay??k??l??)))))) ,,,,—
"Mo w? a?? funfun, mo sì w? fila.","I wore white clothes, and I wore a cap.",Compound,PRON VERB NOUN ADJ PRON CONJ PRON VERB NOUN,S ? S CONJ S,"(IP (IP (NP-SBJ (PRO Mo)) (VP (V w?) (NP (N a??) (ADJ funfun)) , (CONJ mo) (V sì) (V w?) (NP (N fila)))))) ",,,,—
"Tí ìw? bá dé, j??w?? pe mi.","If you arrive, please call me.",Complex,CONJ PRON AUX VERB ADV VERB PRON,"S ? CP , S","(IP (CP (C Tí) (IP (NP-SBJ (PRO ìw?)) (VP (V bá) (V dé)))) , (IP (VP (V j??w??) (V pe) (NP (PRO mi)))))) ",,,,"Embed, Comp"
Kó ?b?? náà wá.,Bring the knife here.,Imperative,VERB NOUN DET VERB,S ? VP,(IP (IP (VP (V Kó) (NP (N ?b??) (DET náà)) (V wá)))) ,,,,—
?? j?? kí gbogbo wa dúpé?.,Let all of us give thanks.,Imperative,VERB CONJ ADJ PRON VERB,S ? VP,(IP (IP (VP (V ??) (V j??) (CP (C kí) (IP (NP-SBJ (PRO gbogbo wa)) (VP (V dúpé?))))))) ,,,,—
Mo f?? kí o ?i??? dáadáa.,I want you to work well.,Complex,PRON AUX CONJ PRON VERB ADV,S ? VP CP,(IP (IP (VP (V Mo) (V f??) (CP (C kí) (IP (NP-SBJ (PRO o)) (VP (V ?i???) (ADJ dáadáa))))))) ,,,,Embed
?é ó ti ra ?k? tuntun?,Has he bought a new car?,Interrogative,Q PRON AUX VERB NOUN ADJ,S ? Q VP NP,(IP (CP (C ?é) (IP (NP-SBJ (PRO ó)) (VP (ASP ti) (V ra) (NP (N ?k?) (ADJ tuntun))))))) ,,#ERROR!,,Ques
Mo f??ràn ìwé yìí púp??.,I like this book very much.,Simple,PRON VERB NOUN DET ADV,S ? NP VP,(IP (IP (VP (V Mo) (V f??ràn) (NP (N ìwé) (DET yìí)) (ADJ púp??)))) ,,,,—
"Bí a bá k?? ??k??, a á ní ìm??.","If we learn, we will have knowledge.",Complex,CONJ PRON AUX VERB NOUN PRON AUX VERB NOUN,"S ? CP , S","(IP (CP (C Bí) (IP (NP-SBJ (PRO a)) (VP (V bá) (V k??) (NP (N ??k??)))))) , (IP (NP-SBJ (PRO a)) (VP (FUT á) (V ní) (NP (N ìm??)))))) ",,,,"Embed, Comp"
Kó àga náà síl??.,Put the chair down.,Imperative,VERB NOUN DET VERB,S ? VP,(IP (IP (VP (V Kó) (NP (N àga) (DET náà)) (V síl??)))) ,,,,—
?? wo bí omi ?e kún!,See how full the water is!,Exclamative,VERB CONJ NOUN AUX ADJ,S ? VP,(IP (IP (VP (V ??) (V wo) (CP (C bí) (IP (NP-SBJ (N omi)) (VP (V ?e) (V kún))))))) ,,,,—
Gbe dide ,Carry him/her up,Imperative ,VERB VERB ,S—VP,(IP (VP (V Gbe) (V dide))) ,,,,—
